bc0_loss,bc1_loss,epoch,phys_loss,step,train_loss
43.552677154541016,39.19401931762695,31,3019463.5,31,3019546.25
45.46574783325195,40.89190673828125,32,3019484.75,32,3019571.0
46.589271545410156,41.99391555786133,33,3019465.5,33,3019554.0
47.014366149902344,42.559051513671875,34,3019412.25,34,3019501.75
46.84561538696289,42.692657470703125,35,3019341.5,35,3019431.0
46.18950653076172,42.52120590209961,36,3019270.0,36,3019358.75
45.15736389160156,42.18027877807617,37,3019211.5,37,3019298.75
43.874881744384766,41.80751037597656,38,3019173.25,38,3019259.0
42.49481201171875,41.53411102294922,39,3019156.5,39,3019240.5
41.20998001098633,41.47169494628906,40,3019156.0,40,3019238.75
40.25646209716797,41.69585037231445,41,3019163.5,41,3019245.5
39.88140106201172,42.24103546142578,42,3019168.5,42,3019250.5
40.26849365234375,43.11832809448242,43,3019163.0,43,3019246.5
41.48424530029297,44.33118438720703,44,3019142.5,44,3019228.25
43.48719787597656,45.869049072265625,45,3019109.25,45,3019198.5
46.16045379638672,47.695308685302734,46,3019068.0,46,3019161.75
49.33482360839844,49.74076461791992,47,3019026.25,47,3019125.25
52.80254364013672,51.902156829833984,48,3018991.0,48,3019095.75
56.330810546875,54.0484504699707,49,3018966.0,49,3019076.5
59.682762145996094,56.04114532470703,50,3018948.75,50,3019064.5
62.649845123291016,57.763282775878906,51,3018934.5,51,3019055.0
65.08511352539062,59.14234161376953,52,3018916.0,52,3019040.25
66.91708374023438,60.16592025756836,53,3018888.5,53,3019015.5
68.138916015625,60.89871597290039,54,3018853.5,54,3018982.5
68.7900161743164,61.50122833251953,55,3018815.5,55,3018945.75
68.94927215576172,62.239871978759766,56,3018780.25,56,3018911.5
68.7525634765625,63.45473861694336,57,3018749.75,57,3018882.0
68.43406677246094,65.43805694580078,58,3018722.5,58,3018856.25
68.34902954101562,68.27104949951172,59,3018692.25,59,3018828.75
68.90753173828125,71.7691650390625,60,3018655.5,60,3018796.25
70.42349243164062,75.56639099121094,61,3018611.0,61,3018757.0
72.97565460205078,79.2483139038086,62,3018560.75,62,3018713.0
76.3656234741211,82.4645004272461,63,3018509.75,63,3018668.5
80.18647003173828,85.00154876708984,64,3018460.75,64,3018626.0
83.96467590332031,86.82935333251953,65,3018413.25,65,3018584.0
87.31222534179688,88.12815856933594,66,3018365.5,66,3018541.0
90.01231384277344,89.29389953613281,67,3018314.75,67,3018494.0
92.0333251953125,90.85123443603516,68,3018257.0,68,3018440.0
93.5267562866211,93.22384643554688,69,3018189.0,69,3018375.75
94.83164978027344,96.50579071044922,70,3018107.0,70,3018298.25
96.43951416015625,100.40673828125,71,3018011.0,71,3018207.75
98.81022644042969,104.3709945678711,72,3017901.75,72,3018105.0
102.0674819946289,107.80863952636719,73,3017780.0,73,3017990.0
105.81879425048828,110.39320373535156,74,3017646.25,74,3017862.5
109.37653350830078,112.27922821044922,75,3017498.0,75,3017719.75
112.41844177246094,114.09241485595703,76,3017335.5,76,3017562.0
115.38311767578125,116.62614440917969,77,3017161.25,77,3017393.25
118.9610595703125,120.2579574584961,78,3016970.75,78,3017210.0
122.74454498291016,124.6124038696289,79,3016765.0,79,3017012.25
125.6056900024414,128.7990264892578,80,3016544.75,80,3016799.25
127.98265075683594,132.07765197753906,81,3016312.5,81,3016572.5
131.73651123046875,134.43666076660156,82,3016066.75,82,3016333.0
134.84280395507812,137.09580993652344,83,3015809.5,83,3016081.5
137.7514190673828,140.94041442871094,84,3015534.5,84,3015813.25
143.07867431640625,145.49639892578125,85,3015236.25,85,3015524.75
143.8329620361328,150.52122497558594,86,3014932.5,86,3015226.75
154.5574493408203,153.83804321289062,87,3014627.5,87,3014936.0
154.24029541015625,158.9437255859375,88,3014145.25,88,3014458.5
158.1566619873047,164.5579833984375,89,3013733.5,89,3014056.25
168.72227478027344,169.60433959960938,90,3013289.0,90,3013627.25
171.34153747558594,175.201904296875,91,3012762.75,91,3013109.25
173.185546875,180.02012634277344,92,3012437.0,92,3012790.25
183.35865783691406,184.2716064453125,93,3012005.5,93,3012373.25
186.4962615966797,190.86215209960938,94,3011524.5,94,3011901.75
186.9794464111328,194.16961669921875,95,3011136.25,95,3011517.5
196.88864135742188,197.27789306640625,96,3010541.75,96,3010936.0
198.0720672607422,206.11940002441406,97,3009849.0,97,3010253.25
