# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
0.036           	smoothSolver	2.14758690e-02	1.02826800e-03	2	2.20792280e-02	1.07748690e-03	2	false	GAMG	2.25473550e-02	1.70122260e-03	1	true
0.0365          	smoothSolver	2.12497710e-02	9.97475050e-04	2	2.19619210e-02	1.07038400e-03	2	false	GAMG	3.34154050e-02	2.31083840e-03	1	true
0.037           	smoothSolver	2.09842280e-02	9.81125670e-04	2	2.18497290e-02	1.05805060e-03	2	false	GAMG	1.89470860e-02	1.22635110e-03	1	true
0.0375          	smoothSolver	2.08776210e-02	9.76953010e-04	2	2.18289200e-02	1.06666820e-03	2	false	GAMG	2.07705130e-02	1.50364300e-03	1	true
0.038           	smoothSolver	2.06827340e-02	9.64187680e-04	2	2.16755330e-02	1.07329930e-03	2	false	GAMG	1.10982460e-02	8.95990610e-04	1	true
0.0385          	smoothSolver	2.04579800e-02	9.35621290e-04	2	2.15057360e-02	1.04573920e-03	2	false	GAMG	1.13537580e-02	9.30222560e-04	1	true
0.039           	smoothSolver	2.03494680e-02	9.37746210e-04	2	2.12982040e-02	1.04433890e-03	2	false	GAMG	1.92973380e-02	1.41795630e-03	1	true
0.0395          	smoothSolver	2.03209530e-02	9.34725580e-04	2	2.11695960e-02	1.04656700e-03	2	false	GAMG	1.30596380e-02	9.88165910e-04	1	true
0.04            	smoothSolver	2.02107150e-02	9.06440340e-04	2	2.09470770e-02	1.01892630e-03	2	false	GAMG	1.28530710e-02	1.08662760e-03	1	true
0.0405          	smoothSolver	2.01021750e-02	9.24207830e-04	2	2.07936830e-02	1.03789210e-03	2	false	GAMG	1.58167510e-02	1.26456230e-03	1	true
0.041           	smoothSolver	2.00357910e-02	8.99293860e-04	2	2.06283140e-02	1.00846870e-03	2	false	GAMG	1.63569170e-02	1.26398550e-03	1	true
0.0415          	smoothSolver	1.99294010e-02	9.05922480e-04	2	2.04503030e-02	1.00502850e-03	2	false	GAMG	1.69515080e-02	1.33483390e-03	1	true
0.042           	smoothSolver	1.99509140e-02	9.30010700e-04	2	2.04195350e-02	1.01972720e-03	2	false	GAMG	1.76883640e-02	1.41712640e-03	1	true
0.0425          	smoothSolver	1.97850580e-02	9.03612660e-04	2	2.01862650e-02	9.91561760e-04	2	false	GAMG	1.58812360e-02	1.24648670e-03	1	true
0.043           	smoothSolver	1.97693390e-02	9.21863110e-04	2	2.01463350e-02	9.99325350e-04	2	false	GAMG	2.15182420e-02	1.61979470e-03	1	true
0.0435          	smoothSolver	1.95314590e-02	9.26839780e-04	2	2.00244610e-02	9.99282850e-04	2	false	GAMG	3.79895220e-02	2.44131250e-03	1	true
0.044           	smoothSolver	1.95046820e-02	9.15868730e-04	2	1.99983390e-02	9.84275460e-04	2	false	GAMG	6.87884330e-02	4.52581950e-03	1	true
0.0445          	smoothSolver	1.93725400e-02	9.28177570e-04	2	1.99394510e-02	9.85973120e-04	2	false	GAMG	1.20312550e-01	8.72342650e-03	1	true
0.045           	smoothSolver	1.93808710e-02	9.55883390e-04	2	1.98922090e-02	9.99873230e-04	2	false	GAMG	8.40800270e-02	6.28046300e-03	1	true
0.0455          	smoothSolver	1.92924340e-02	9.70298480e-04	2	1.99111250e-02	1.01792200e-03	2	false	GAMG	6.92291150e-02	5.20110020e-03	1	true
